Email,Purchase,Location
1,yes,West
2,yes,Northeast
3,yes,Northeast
4,no,Midwest
5,no,Northeast
6,yes,West
7,no,Midwest
8,no,Midwest
9,no,Northeast
10,no,Midwest
11,yes,Midwest
12,yes,South
13,yes,South
14,no,Midwest
15,yes,Northeast
16,yes,Northeast
17,no,Northeast
18,yes,Northeast
19,no,Midwest
20,no,Midwest
21,no,Northeast
22,yes,South
23,yes,Midwest
24,no,Northeast
25,no,Midwest
26,yes,South
27,yes,Northeast
28,no,Midwest
29,no,Midwest
30,yes,West
31,yes,South
32,yes,Midwest
33,yes,Northeast
34,no,Midwest
35,yes,South
36,yes,Midwest
37,yes,South
38,yes,West
39,yes,Northeast
40,no,South
41,yes,West
42,yes,Northeast
43,yes,South
44,yes,Northeast
45,yes,South
46,yes,West
47,yes,Midwest
48,yes,South
49,yes,West
50,yes,Midwest
51,yes,Northeast
52,yes,Midwest
53,yes,Northeast
54,yes,Midwest
55,yes,South
56,yes,Northeast
57,no,Midwest
58,yes,Northeast
59,yes,South
60,no,West
61,yes,West
62,yes,West
63,yes,West
64,no,Midwest
65,yes,West
66,yes,Northeast
67,no,Northeast
68,yes,West
69,yes,South
70,no,Midwest
71,no,South
72,yes,West
73,yes,West
74,yes,Midwest
75,no,West
76,yes,West
77,yes,West
78,yes,South
79,no,Midwest
80,no,South
81,yes,South
82,yes,South
83,no,Midwest
84,yes,South
85,yes,West
86,yes,South
87,yes,South
88,no,South
89,no,West
90,yes,Northeast
91,no,Midwest
92,yes,Midwest
93,yes,Northeast
94,yes,South
95,yes,South
96,yes,Midwest
97,no,Midwest
98,yes,West
99,yes,South
100,yes,South
101,no,Northeast
102,yes,West
103,yes,Northeast
104,yes,Northeast
105,no,Midwest
106,no,Northeast
107,yes,West
108,no,Midwest
109,no,Midwest
110,no,Northeast
111,no,Midwest
112,yes,Midwest
113,yes,South
114,yes,South
115,no,Midwest
116,yes,Northeast
117,yes,Northeast
118,no,Northeast
119,yes,Northeast
120,no,Midwest
121,no,Midwest
122,no,Northeast
123,yes,Midwest
124,yes,Midwest
125,no,Northeast
126,no,Midwest
127,yes,Midwest
128,yes,Northeast
129,no,Midwest
130,no,Midwest
131,yes,Midwest
132,yes,South
133,yes,Midwest
134,yes,Northeast
135,no,Midwest
136,yes,South
137,yes,Midwest
138,yes,South
139,yes,West
140,yes,Northeast
141,no,South
142,yes,West
143,yes,Northeast
144,yes,South
145,yes,Northeast
146,yes,South
147,yes,West
148,yes,Midwest
149,yes,South
150,yes,West
151,yes,Midwest
152,yes,Northeast
153,yes,Midwest
154,yes,Northeast
155,yes,Midwest
156,yes,South
157,yes,Northeast
158,no,Midwest
159,yes,Northeast
160,yes,South
161,no,West
162,yes,West
163,yes,West
164,yes,West
165,no,Midwest
166,yes,West
167,yes,Northeast
168,no,Northeast
169,yes,West
170,yes,South
171,no,Midwest
172,no,South
173,yes,West
174,yes,West
175,yes,South
176,no,West
177,yes,West
178,yes,West
179,yes,South
180,no,Midwest
181,no,South
182,yes,South
183,yes,South
184,no,Midwest
185,yes,South
186,yes,West
187,yes,South
188,yes,South
189,no,South
190,no,West
191,yes,Northeast
192,no,Midwest
193,yes,Midwest
194,yes,Northeast
195,yes,South
196,yes,South
197,yes,Midwest
198,no,Midwest
199,yes,West
200,yes,South
201,yes,South
202,no,Northeast
203,yes,West
204,yes,Northeast
205,yes,Northeast
206,no,Midwest
207,no,Northeast
208,yes,West
209,no,Midwest
210,no,Midwest
211,no,Northeast
212,no,Midwest
213,yes,Midwest
214,yes,South
215,yes,South
216,no,Midwest
217,yes,Northeast
218,yes,Northeast
219,no,Northeast
220,yes,Northeast
221,no,Midwest
222,no,Midwest
223,no,Northeast
224,yes,Midwest
225,yes,Midwest
226,no,Northeast
227,no,Midwest
228,yes,Midwest
229,yes,Northeast
230,no,Midwest
231,no,Midwest
232,yes,Midwest
233,yes,South
234,yes,Midwest
235,yes,Northeast
236,no,Midwest
237,yes,South
238,yes,Midwest
239,yes,South
240,yes,West
241,yes,Northeast
242,no,South
243,yes,West
244,yes,Northeast
245,yes,South
246,yes,Northeast
247,yes,South
248,yes,West
249,yes,Midwest
250,yes,South
251,yes,West
252,yes,Midwest
253,yes,Northeast
254,yes,Midwest
255,yes,Northeast
256,yes,Midwest
257,yes,South
258,yes,Northeast
259,no,Midwest
260,yes,Northeast
261,yes,South
262,no,West
263,yes,West
264,yes,West
265,yes,West
266,no,Midwest
267,yes,West
268,yes,Northeast
269,no,Northeast
270,yes,West
271,yes,South
272,no,Midwest
273,no,South
274,yes,West
275,yes,West
276,yes,South
277,no,West
278,yes,West
279,yes,West
280,yes,South
281,no,Midwest
282,no,South
283,yes,South
284,yes,South
285,no,Midwest
286,yes,South
287,yes,Midwest
288,yes,South
289,yes,South
290,no,South
291,no,West
292,yes,Northeast
293,no,Midwest
294,yes,Midwest
295,yes,Northeast
296,yes,South
297,yes,South
298,yes,Midwest
299,no,Midwest
300,yes,West
301,yes,South
302,yes,South
303,no,Northeast
304,yes,West
305,yes,Northeast
306,yes,Northeast
307,no,Midwest
308,no,Northeast
309,yes,West
310,no,Midwest
311,no,Midwest
312,no,Northeast
313,no,Midwest
314,yes,Midwest
315,yes,South
316,yes,South
317,no,Midwest
318,yes,Northeast
319,yes,Northeast
320,no,Northeast
321,yes,Northeast
322,no,Midwest
323,no,Midwest
324,no,Northeast
325,yes,Midwest
326,yes,Midwest
327,no,Northeast
328,no,Midwest
329,yes,Midwest
330,yes,Northeast
331,no,Midwest
332,no,Midwest
333,yes,Midwest
334,yes,South
335,yes,Midwest
336,yes,Northeast
337,no,Midwest
338,yes,South
339,yes,Midwest
340,yes,South
341,yes,West
342,yes,Northeast
343,no,South
344,yes,West
345,yes,Northeast
346,yes,South
347,yes,Northeast
348,yes,South
349,yes,West
350,yes,Midwest
351,yes,South
352,yes,West
353,yes,Midwest
354,yes,Northeast
355,yes,Midwest
356,yes,Northeast
357,yes,Midwest
358,yes,South
359,yes,Northeast
360,no,Midwest
361,yes,Northeast
362,yes,South
363,no,West
364,yes,West
365,yes,West
366,yes,West
367,no,Midwest
368,yes,West
369,yes,Northeast
370,no,Northeast
371,yes,West
372,yes,South
373,no,Midwest
374,no,South
375,yes,West
376,yes,West
377,yes,South
378,no,West
379,yes,West
380,yes,West
381,yes,South
382,no,Midwest
383,no,South
384,yes,South
385,yes,South
386,no,Midwest
387,yes,South
388,yes,West
389,yes,South
390,yes,South
391,no,South
392,no,West
393,yes,Northeast
394,no,Midwest
395,yes,Midwest
396,yes,Northeast
397,yes,South
398,yes,South
399,yes,Midwest
400,no,Midwest
401,yes,West
402,yes,South
403,yes,South
404,no,Northeast
405,yes,West
406,yes,Northeast
407,yes,Northeast
408,no,Midwest
409,no,Northeast
410,yes,West
411,no,Midwest
412,no,Midwest
413,no,Northeast
414,no,Midwest
415,yes,Midwest
416,yes,South
417,yes,South
418,no,Midwest
419,yes,Northeast
420,yes,Northeast
421,no,Northeast
422,yes,Northeast
423,no,Midwest
424,no,Midwest
425,no,Northeast
426,yes,Midwest
427,yes,Midwest
428,no,Northeast
429,no,Midwest
430,yes,Midwest
431,yes,Northeast
432,no,Midwest
433,no,Midwest
434,yes,Midwest
435,yes,South
436,yes,Midwest
437,yes,Northeast
438,no,Midwest
439,yes,South
440,yes,Midwest
441,yes,South
442,yes,West
443,yes,Northeast
444,no,South
445,yes,West
446,yes,Northeast
447,yes,South
448,yes,Northeast
449,yes,South
450,yes,West
451,yes,Midwest
452,yes,South
453,yes,West
454,yes,Midwest
455,yes,Northeast
456,yes,Midwest
457,yes,Northeast
458,yes,Midwest
459,yes,South
460,yes,Northeast
461,no,Midwest
462,yes,Northeast
463,yes,South
464,no,West
465,yes,West
466,yes,West
467,yes,West
468,no,Midwest
469,yes,West
470,yes,Northeast
471,no,Northeast
472,yes,West
473,yes,South
474,no,Midwest
475,no,South
476,yes,West
477,yes,West
478,yes,South
479,no,West
480,yes,West
481,yes,West
482,yes,South
483,no,Midwest
484,no,South
485,yes,South
486,yes,South
487,no,Midwest
488,yes,South
489,yes,West
490,yes,South
491,yes,South
492,no,South
493,no,West
494,yes,Northeast
495,no,Midwest
496,yes,Midwest
497,yes,Northeast
498,yes,South
499,yes,South
500,yes,Midwest
501,no,Midwest
502,yes,West
503,yes,South
504,yes,South
505,no,Northeast
506,yes,West
507,yes,Northeast
508,yes,Northeast
509,no,Midwest
510,no,Northeast
511,yes,West
512,no,Midwest
513,no,Midwest
514,no,Northeast
515,no,Midwest
516,yes,Midwest
517,yes,South
518,yes,South
519,no,Midwest
520,yes,Northeast
521,yes,Northeast
522,no,Northeast
523,yes,Northeast
524,no,Midwest
525,no,Midwest
526,no,Northeast
527,yes,Midwest
528,yes,Midwest
529,no,Northeast
530,no,Midwest
531,yes,Midwest
532,yes,Northeast
533,no,Midwest
534,no,Midwest
535,yes,Midwest
536,yes,South
537,yes,Midwest
538,yes,Northeast
539,no,Midwest
540,yes,South
541,yes,Midwest
542,yes,South
543,yes,West
544,yes,Northeast
545,no,South
546,yes,West
547,yes,Northeast
548,yes,South
549,yes,Northeast
550,yes,South
551,yes,West
552,yes,Midwest
553,yes,South
554,yes,West
555,yes,Midwest
556,yes,Northeast
557,yes,Midwest
558,yes,Northeast
559,yes,Midwest
560,yes,South
561,yes,Northeast
562,no,Midwest
563,yes,Northeast
564,yes,South
565,no,West
566,yes,West
567,yes,West
568,yes,West
569,no,Midwest
570,yes,West
571,yes,Northeast
572,no,Northeast
573,yes,West
574,yes,South
575,no,Midwest
576,no,South
577,yes,West
578,yes,West
579,yes,Midwest
580,no,West
581,yes,West
582,yes,West
583,yes,South
584,no,Midwest
585,no,South
586,yes,South
587,yes,South
588,no,Midwest
589,yes,South
590,yes,West
591,yes,South
592,yes,South
593,yes,South
594,no,West
595,yes,Northeast
596,no,Midwest
597,yes,Midwest
598,yes,Northeast
599,yes,South
600,no,South
